ConceptID,ConceptLabel,Dependencies,TaxonomyID
115,Moisturizing Before,112|35,PREP
116,Clean Skin Importance,112|22,PREP
117,No Lotions Day-Of,112|115,PREP
118,Sun Exposure Before,112|169,PREP
119,Sunburn Prevention,118,PREP
120,Clothing Strategies,97,PREP
121,Loose Fitting Clothes,120,PREP
122,Dark Colored Fabrics,120,PREP
123,Breathable Materials,120|121,PREP
124,Cotton Recommendations,123,PREP
125,Clothes for Placement,120,PREP
126,Arm Tattoo Clothing,125,PREP
127,Leg Tattoo Clothing,125,PREP
128,Torso Tattoo Clothing,125,PREP
129,Back Tattoo Clothing,125,PREP
130,Sleeping Positions,120|129,PREP
131,Clean Sheets Protocol,22|130,PREP
132,Pain Management,97,PAIN
133,Pain Expectation,132,PAIN
134,Pain Tolerance Factors,132|133,PAIN
135,Numbing Creams,132,PAIN
136,OTC Pain Relievers,132,PAIN
137,Ibuprofen Caution,136|156,PAIN
138,Acetaminophen Use,136,PAIN
139,Breathing Techniques,132,PAIN
140,Distraction Methods,132,PAIN
141,Music During Session,140,PAIN
142,Conversation Benefits,140,PAIN
143,Break Requests,132|133,PAIN
144,Pain by Body Area,132|3,PAIN
145,Sensitive Areas,144,PAIN
146,Less Painful Areas,144,PAIN
147,Health Screening,97,HLTH
148,Medical Conditions,147,HLTH
149,Diabetes Considerations,148|2,HLTH
150,Immune Disorders,148|20,HLTH
151,Bleeding Disorders,148,HLTH
152,Skin Conditions,148|3,HLTH
153,Eczema Management,152,HLTH
154,Psoriasis Concerns,152,HLTH
155,Medication Effects,147,HLTH
156,Blood Thinners,155|151,HLTH
157,Immunosuppressants,155|150,HLTH
158,Accutane Restrictions,155|152,HLTH
159,Pregnancy Cautions,147,HLTH
160,Illness Timing,147,HLTH
161,Recent Surgery,147|2,HLTH
162,Vaccination Timing,147,HLTH
163,Allergy Disclosure,147|75,HLTH
164,Session Readiness,97|147,HLTH
165,Preparation Checklist,164,HLTH
166,Rest Before Session,164,HLTH
167,Mental Preparation,164,HLTH
168,Eating Before Session,110|164,HLTH
169,UV Protection,1,LONG
170,Sunscreen for Tattoos,169|19,LONG
171,SPF Requirements,170,LONG
172,Mineral Sunscreen,170,LONG
173,Chemical Sunscreen,170,LONG
174,Reapplication Schedule,170|171,LONG
175,Sun Protective Clothing,169,LONG
176,UV Damage Effects,169|6,LONG
177,Fading Prevention,176|170,LONG
178,Color Longevity,177|179,LONG
179,Long-Term Maintenance,1|19,LONG
180,Ongoing Moisturizing,179|35,LONG
181,Skin Health Routine,179|180,LONG
182,Annual Skin Checks,179,LONG
183,Touch-Up Planning,179,LONG
184,Touch-Up Timing,183|19,LONG
185,Color Refresh,183|178,LONG
186,Line Touch-Ups,183,LONG
187,Aging Skin Effects,179|3,LONG
188,Weight Changes Impact,179|187,LONG
189,Stretch Mark Prevention,188,LONG
190,Scar Tissue Care,179|2,LONG
191,Multiple Tattoo Care,179,LONG
192,Session Spacing,191|7,LONG
193,Adjacent Tattoo Healing,191|192,LONG
194,Cover-Up Aftercare,191|13,LONG
195,Personalized Care Plans,179,LONG
196,Body Area Protocols,195|144,LONG
197,Size-Based Aftercare,195|7,LONG
198,Style-Based Care,195,LONG
199,Seasonal Considerations,195|169,LONG
200,Aftercare Troubleshooting,66|195,LONG
